Episode 167, Reward: -31925.25, Epsilon: 0.43, Mean wait: 6.08, Emissions: 3.33
Episode 168, Reward: -20062.28, Epsilon: 0.43, Mean wait: 4.13, Emissions: 2.54
Episode 169, Reward: -20813.67, Epsilon: 0.43, Mean wait: 5.26, Emissions: 2.58
Episode 170, Reward: -19362.72, Epsilon: 0.43, Mean wait: 5.32, Emissions: 2.32
Episode 171, Reward: -15896.66, Epsilon: 0.42, Mean wait: 2.71, Emissions: 2.29
Episode 172, Reward: -20334.11, Epsilon: 0.42, Mean wait: 4.35, Emissions: 2.65
Episode 173, Reward: -20971.33, Epsilon: 0.42, Mean wait: 4.73, Emissions: 2.59
Episode 174, Reward: -22400.59, Epsilon: 0.42, Mean wait: 6.76, Emissions: 2.51
Episode 175, Reward: -21124.17, Epsilon: 0.42, Mean wait: 3.29, Emissions: 2.75
Episode 176, Reward: -18213.42, Epsilon: 0.41, Mean wait: 3.59, Emissions: 2.45
Episode 177, Reward: -21096.21, Epsilon: 0.41, Mean wait: 4.05, Emissions: 2.71
Episode 178, Reward: -19595.97, Epsilon: 0.41, Mean wait: 3.84, Emissions: 2.61
Episode 179, Reward: -17011.40, Epsilon: 0.41, Mean wait: 2.18, Emissions: 2.39
Episode 180, Reward: -16911.37, Epsilon: 0.41, Mean wait: 3.03, Emissions: 2.40
Episode 181, Reward: -17682.24, Epsilon: 0.40, Mean wait: 4.54, Emissions: 2.34
Episode 182, Reward: -16949.22, Epsilon: 0.40, Mean wait: 3.02, Emissions: 2.50
Episode 183, Reward: -22024.24, Epsilon: 0.40, Mean wait: 5.01, Emissions: 2.57
Episode 184, Reward: -19203.45, Epsilon: 0.40, Mean wait: 5.79, Emissions: 2.42
Episode 185, Reward: -20361.99, Epsilon: 0.40, Mean wait: 7.02, Emissions: 2.42
Episode 186, Reward: -16332.25, Epsilon: 0.39, Mean wait: 2.98, Emissions: 2.32
Episode 187, Reward: -19532.27, Epsilon: 0.39, Mean wait: 5.05, Emissions: 2.37
Episode 188, Reward: -17571.49, Epsilon: 0.39, Mean wait: 3.28, Emissions: 2.41
Episode 189, Reward: -17286.19, Epsilon: 0.39, Mean wait: 3.22, Emissions: 2.37
Episode 190, Reward: -19161.60, Epsilon: 0.39, Mean wait: 4.19, Emissions: 2.50
Episode 191, Reward: -16369.35, Epsilon: 0.38, Mean wait: 4.42, Emissions: 2.26
Episode 192, Reward: -18178.66, Epsilon: 0.38, Mean wait: 3.28, Emissions: 2.42
Episode 193, Reward: -17460.68, Epsilon: 0.38, Mean wait: 5.24, Emissions: 2.41
Episode 194, Reward: -20808.58, Epsilon: 0.38, Mean wait: 6.54, Emissions: 2.42
Episode 195, Reward: -15038.57, Epsilon: 0.38, Mean wait: 4.21, Emissions: 2.21
Episode 196, Reward: -16031.49, Epsilon: 0.37, Mean wait: 3.69, Emissions: 2.36
Episode 197, Reward: -14731.27, Epsilon: 0.37, Mean wait: 2.52, Emissions: 2.24
Episode 198, Reward: -15711.94, Epsilon: 0.37, Mean wait: 3.53, Emissions: 2.27
Episode 199, Reward: -16163.86, Epsilon: 0.37, Mean wait: 3.19, Emissions: 2.26
Episode 200, Reward: -17024.03, Epsilon: 0.37, Mean wait: 5.35, Emissions: 2.32
Episode 201, Reward: -15583.30, Epsilon: 0.37, Mean wait: 2.74, Emissions: 2.34
Episode 202, Reward: -19500.75, Epsilon: 0.36, Mean wait: 6.63, Emissions: 2.33
Episode 203, Reward: -19400.26, Epsilon: 0.36, Mean wait: 6.32, Emissions: 2.42
Episode 204, Reward: -20041.83, Epsilon: 0.36, Mean wait: 4.44, Emissions: 2.57
Episode 205, Reward: -14278.27, Epsilon: 0.36, Mean wait: 2.55, Emissions: 2.26
Episode 206, Reward: -14066.16, Epsilon: 0.36, Mean wait: 3.28, Emissions: 2.22
Episode 207, Reward: -15419.07, Epsilon: 0.35, Mean wait: 4.48, Emissions: 2.31
Episode 208, Reward: -13403.51, Epsilon: 0.35, Mean wait: 2.63, Emissions: 2.08
Episode 209, Reward: -15549.18, Epsilon: 0.35, Mean wait: 3.42, Emissions: 2.18
Episode 210, Reward: -16632.77, Epsilon: 0.35, Mean wait: 3.45, Emissions: 2.46
Episode 211, Reward: -16777.27, Epsilon: 0.35, Mean wait: 3.98, Emissions: 2.29
Episode 212, Reward: -13749.51, Epsilon: 0.35, Mean wait: 3.31, Emissions: 2.14
Episode 213, Reward: -16208.33, Epsilon: 0.34, Mean wait: 2.75, Emissions: 2.43
Episode 214, Reward: -17654.27, Epsilon: 0.34, Mean wait: 5.90, Emissions: 2.31
Episode 215, Reward: -13856.75, Epsilon: 0.34, Mean wait: 1.95, Emissions: 2.29
Episode 216, Reward: -13057.30, Epsilon: 0.34, Mean wait: 2.10, Emissions: 2.18
Episode 217, Reward: -16109.65, Epsilon: 0.34, Mean wait: 5.97, Emissions: 2.22
Episode 218, Reward: -14178.46, Epsilon: 0.34, Mean wait: 4.66, Emissions: 2.15
Episode 219, Reward: -15963.59, Epsilon: 0.33, Mean wait: 4.80, Emissions: 2.19
Episode 220, Reward: -15677.11, Epsilon: 0.33, Mean wait: 3.26, Emissions: 2.37
Episode 221, Reward: -15418.31, Epsilon: 0.33, Mean wait: 3.45, Emissions: 2.22
Episode 222, Reward: -16073.74, Epsilon: 0.33, Mean wait: 2.56, Emissions: 2.38
Episode 223, Reward: -16168.47, Epsilon: 0.33, Mean wait: 3.72, Emissions: 2.25
Episode 224, Reward: -14166.13, Epsilon: 0.33, Mean wait: 2.58, Emissions: 2.19
Episode 225, Reward: -17566.48, Epsilon: 0.32, Mean wait: 6.17, Emissions: 2.28
Episode 226, Reward: -13944.45, Epsilon: 0.32, Mean wait: 3.88, Emissions: 2.24
Episode 227, Reward: -10585.96, Epsilon: 0.32, Mean wait: 2.10, Emissions: 2.06
Episode 228, Reward: -14113.74, Epsilon: 0.32, Mean wait: 3.80, Emissions: 2.16
Episode 229, Reward: -13744.44, Epsilon: 0.32, Mean wait: 2.85, Emissions: 2.14
Episode 230, Reward: -16491.08, Epsilon: 0.32, Mean wait: 3.81, Emissions: 2.19
Episode 231, Reward: -15141.20, Epsilon: 0.31, Mean wait: 5.61, Emissions: 2.23
Episode 232, Reward: -13371.24, Epsilon: 0.31, Mean wait: 3.13, Emissions: 2.00
Episode 233, Reward: -12502.97, Epsilon: 0.31, Mean wait: 2.48, Emissions: 2.07
Episode 234, Reward: -16506.94, Epsilon: 0.31, Mean wait: 4.63, Emissions: 2.31
Episode 235, Reward: -15290.74, Epsilon: 0.31, Mean wait: 2.85, Emissions: 2.34
Episode 236, Reward: -12525.83, Epsilon: 0.31, Mean wait: 3.17, Emissions: 2.00
Episode 237, Reward: -15728.97, Epsilon: 0.30, Mean wait: 3.61, Emissions: 2.33
Episode 238, Reward: -13865.45, Epsilon: 0.30, Mean wait: 3.01, Emissions: 2.09
Episode 239, Reward: -17216.10, Epsilon: 0.30, Mean wait: 6.66, Emissions: 2.25
Episode 240, Reward: -11710.75, Epsilon: 0.30, Mean wait: 2.66, Emissions: 1.97
Episode 241, Reward: -13257.57, Epsilon: 0.30, Mean wait: 2.82, Emissions: 2.20
Episode 242, Reward: -13851.83, Epsilon: 0.30, Mean wait: 2.46, Emissions: 2.22
Episode 243, Reward: -13671.70, Epsilon: 0.30, Mean wait: 2.53, Emissions: 2.08
Episode 244, Reward: -12926.86, Epsilon: 0.29, Mean wait: 1.91, Emissions: 2.17
Episode 245, Reward: -13317.79, Epsilon: 0.29, Mean wait: 2.85, Emissions: 2.10
Episode 246, Reward: -12020.77, Epsilon: 0.29, Mean wait: 1.64, Emissions: 2.11
Episode 247, Reward: -14487.92, Epsilon: 0.29, Mean wait: 1.78, Emissions: 2.37
Episode 248, Reward: -14045.94, Epsilon: 0.29, Mean wait: 2.58, Emissions: 2.24
Episode 249, Reward: -12768.74, Epsilon: 0.29, Mean wait: 3.26, Emissions: 2.04
Episode 250, Reward: -13736.16, Epsilon: 0.29, Mean wait: 2.91, Emissions: 2.22
Episode 251, Reward: -13241.47, Epsilon: 0.28, Mean wait: 2.20, Emissions: 2.21
Episode 252, Reward: -12468.14, Epsilon: 0.28, Mean wait: 3.26, Emissions: 2.02
Episode 253, Reward: -14923.15, Epsilon: 0.28, Mean wait: 2.54, Emissions: 2.34
Episode 254, Reward: -11954.76, Epsilon: 0.28, Mean wait: 2.24, Emissions: 2.04
Episode 255, Reward: -15052.91, Epsilon: 0.28, Mean wait: 4.39, Emissions: 2.11
Episode 256, Reward: -14113.63, Epsilon: 0.28, Mean wait: 3.82, Emissions: 2.21
Episode 257, Reward: -13989.65, Epsilon: 0.28, Mean wait: 2.54, Emissions: 2.16
Episode 258, Reward: -13483.30, Epsilon: 0.27, Mean wait: 2.62, Emissions: 2.08
Episode 259, Reward: -16679.22, Epsilon: 0.27, Mean wait: 6.41, Emissions: 2.25
Episode 260, Reward: -14314.21, Epsilon: 0.27, Mean wait: 2.16, Emissions: 2.31
Episode 261, Reward: -12789.01, Epsilon: 0.27, Mean wait: 2.13, Emissions: 2.11
Episode 262, Reward: -11474.43, Epsilon: 0.27, Mean wait: 1.60, Emissions: 2.06
Episode 263, Reward: -13617.45, Epsilon: 0.27, Mean wait: 2.63, Emissions: 2.18
Episode 264, Reward: -10089.68, Epsilon: 0.27, Mean wait: 2.89, Emissions: 1.86
Episode 265, Reward: -12192.65, Epsilon: 0.26, Mean wait: 2.31, Emissions: 2.11
Episode 266, Reward: -11326.01, Epsilon: 0.26, Mean wait: 1.86, Emissions: 1.99
Episode 267, Reward: -9896.22, Epsilon: 0.26, Mean wait: 2.09, Emissions: 1.82
Episode 268, Reward: -13914.46, Epsilon: 0.26, Mean wait: 3.25, Emissions: 2.12
Episode 269, Reward: -12918.58, Epsilon: 0.26, Mean wait: 2.74, Emissions: 2.10
Episode 270, Reward: -11040.09, Epsilon: 0.26, Mean wait: 2.75, Emissions: 1.98
Episode 271, Reward: -11097.28, Epsilon: 0.26, Mean wait: 2.00, Emissions: 2.01
Episode 272, Reward: -14805.58, Epsilon: 0.26, Mean wait: 2.47, Emissions: 2.24
Episode 273, Reward: -10990.11, Epsilon: 0.25, Mean wait: 3.35, Emissions: 1.92
Episode 274, Reward: -14040.88, Epsilon: 0.25, Mean wait: 3.39, Emissions: 2.21
Episode 275, Reward: -14560.53, Epsilon: 0.25, Mean wait: 4.12, Emissions: 2.16
Episode 276, Reward: -13951.76, Epsilon: 0.25, Mean wait: 2.95, Emissions: 2.12
Episode 277, Reward: -11761.47, Epsilon: 0.25, Mean wait: 1.31, Emissions: 2.16
Episode 278, Reward: -12294.67, Epsilon: 0.25, Mean wait: 3.33, Emissions: 1.99
Episode 279, Reward: -11747.70, Epsilon: 0.25, Mean wait: 4.36, Emissions: 1.91
Episode 280, Reward: -13229.06, Epsilon: 0.25, Mean wait: 2.81, Emissions: 2.09
Episode 281, Reward: -13187.60, Epsilon: 0.24, Mean wait: 3.34, Emissions: 2.22
Episode 282, Reward: -12070.80, Epsilon: 0.24, Mean wait: 2.82, Emissions: 2.00
Episode 283, Reward: -12962.53, Epsilon: 0.24, Mean wait: 3.29, Emissions: 2.10
Episode 284, Reward: -12539.54, Epsilon: 0.24, Mean wait: 3.05, Emissions: 2.11
Episode 285, Reward: -13884.23, Epsilon: 0.24, Mean wait: 5.17, Emissions: 2.07
Episode 286, Reward: -11806.26, Epsilon: 0.24, Mean wait: 2.49, Emissions: 1.99
Episode 287, Reward: -13155.67, Epsilon: 0.24, Mean wait: 4.54, Emissions: 2.10
Episode 288, Reward: -12437.38, Epsilon: 0.24, Mean wait: 1.77, Emissions: 2.05
Episode 289, Reward: -12023.12, Epsilon: 0.23, Mean wait: 1.99, Emissions: 2.13
Episode 290, Reward: -9376.36, Epsilon: 0.23, Mean wait: 1.83, Emissions: 1.86
